204515,André Janones,36898,AVANTE,MG,https://www.camara.leg.br/internet/deputado/bandep/204515.jpg,dep.andrejanones@camara.leg.br,ANDRE LUIS GASPAR JANONES,Superior,MG,Ituiutaba,M
204476,Chiquinho Brazão,36898,AVANTE,RJ,https://www.camara.leg.br/internet/deputado/bandep/204476.jpg,dep.chiquinhobrazao@camara.leg.br,JOÃO FRANCISCO INÁCIO BRAZÃO,Ensino Médio,RJ,Rio de Janeiro,M
198197,Greyce Elias,36898,AVANTE,MG,https://www.camara.leg.br/internet/deputado/bandep/198197.jpg,dep.greyceelias@camara.leg.br,GREYCE DE QUEIROZ ELIAS,Superior,MG,Patrocínio,F
204375,Leda Sadala,36898,AVANTE,AP,https://www.camara.leg.br/internet/deputado/bandep/204375.jpg,dep.ledasadala@camara.leg.br,LEDA MARIA SADALA BRITO,Superior,PA,Almeirim,F
160510,Luis Tibé,36898,AVANTE,MG,https://www.camara.leg.br/internet/deputado/bandep/160510.jpg,dep.luistibe@camara.leg.br,LUIS HENRIQUE DE OLIVEIRA RESENDE,Superior Incompleto,MG,Belo Horizonte,M
204553,Pastor Sargento Isidório,36898,AVANTE,BA,https://www.camara.leg.br/internet/deputado/bandep/204553.jpg,dep.pastorsargentoisidorio@camara.leg.br,MANOEL ISIDORIO DE SANTANA JUNIOR,Superior Incompleto,BA,Salvador,M
178921,Sebastião Oliveira,36898,AVANTE,PE,https://www.camara.leg.br/internet/deputado/bandep/178921.jpg,dep.sebastiaooliveira@camara.leg.br,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,Superior,PE,Recife,M
197438,Tito,36898,AVANTE,BA,https://www.camara.leg.br/internet/deputado/bandep/197438.jpg,dep.tito@camara.leg.br,CARLOS TITO MARQUES CORDEIRO,Mestrado,BA,Santa Maria da Vitória,M
178972,Alex Manente,37905,CIDADANIA,SP,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg,dep.alexmanente@camara.leg.br,ALEX SPINELLI MANENTE,Superior,SP,São Bernardo do Campo,M
141391,Arnaldo Jardim,37905,CIDADANIA,SP,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg,dep.arnaldojardim@camara.leg.br,ARNALDO CALIL PEREIRA JARDIM,Superior,SP,Altinópolis,M
164360,Carmen Zanotto,37905,CIDADANIA,SC,https://www.camara.leg.br/internet/deputado/bandep/164360.jpg,dep.carmenzanotto@camara.leg.br,CARMEN EMÍLIA BONFÁ ZANOTTO,Superior,SC,Lages,F
204355,Da Vitoria,37905,CIDADANIA,ES,https://www.camara.leg.br/internet/deputado/bandep/204355.jpg,dep.davitoria@camara.leg.br,JOSIAS MARIO DA VITORIA,Superior,ES,Colatina,M
178916,Daniel Coelho,37905,CIDADANIA,PE,https://www.camara.leg.br/internet/deputado/bandep/178916.jpg,dep.danielcoelho@camara.leg.br,DANIEL PIRES COELHO,Superior,PE,Recife,M
204377,Paula Belmonte,37905,CIDADANIA,DF,https://www.camara.leg.br/internet/deputado/bandep/204377.jpg,dep.paulabelmonte@camara.leg.br,PAULA MORENO PARO BELMONTE,Superior,SP,SAO PAULO,F
73466,Rubens Bueno,37905,CIDADANIA,PR,https://www.camara.leg.br/internet/deputado/bandep/73466.jpg,dep.rubensbueno@camara.leg.br,RUBENS BUENO,Superior,PR,Sertanópolis,M
178836,Alan Rick,36769,DEM,AC,https://www.camara.leg.br/internet/deputado/bandep/178836.jpg,dep.alanrick@camara.leg.br,ALAN RICK MIRANDA,Pós-Graduação,AC,Rio Branco,M
160545,Alexandre Leite,36769,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg,dep.alexandreleite@camara.leg.br,ALEXANDRE LEITE DA SILVA,Superior,SP,São Paulo,M
160600,Arthur Oliveira Maia,36769,DEM,BA,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg,dep.arthuroliveiramaia@camara.leg.br,ARTHUR DE OLIVEIRA MAIA DA SILVA,Mestrado,BA,Salvador,M
141513,Bilac Pinto,36769,DEM,MG,https://www.camara.leg.br/internet/deputado/bandep/141513.jpg,dep.bilacpinto@camara.leg.br,OLAVO BILAC PINTO NETO,Superior,RJ,Rio de Janeiro,M
178993,Carlos Henrique Gaguim,36769,DEM,TO,https://www.camara.leg.br/internet/deputado/bandep/178993.jpg,dep.carloshenriquegaguim@camara.leg.br,CARLOS HENRIQUE AMORIM,Pós-Graduação,GO,Ceres,M
204412,Dr. Zacharias Calil,36769,DEM,GO,https://www.camara.leg.br/internet/deputado/bandep/204412.jpg,dep.dr.zachariascalil@camara.leg.br,ZACARIAS CALIL HAMU,Superior,GO,Goiânia,M
141422,Efraim Filho,36769,DEM,PB,https://www.camara.leg.br/internet/deputado/bandep/141422.jpg,dep.efraimfilho@camara.leg.br,EFRAIM DE ARAÚJO MORAIS FILHO,Pós-Graduação,PB,João Pessoa,M
160532,Eli Corrêa Filho,36769,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/160532.jpg,dep.elicorreafilho@camara.leg.br,ADRIANO ELI CORRÊA,Superior,SP,São Paulo,M
178854,Elmar Nascimento,36769,DEM,BA,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg,dep.elmarnascimento@camara.leg.br,ELMAR JOSE VIEIRA NASCIMENTO,Pós-Graduação,BA,Campo Formoso,M
141431,Fernando Coelho Filho,36769,DEM,PE,https://www.camara.leg.br/internet/deputado/bandep/141431.jpg,dep.fernandocoelhofilho@camara.leg.br,FERNANDO BEZERRA DE SOUZA COELHO FILHO,Superior,PE,Recife,M
204527,Geninho Zuliani,36769,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/204527.jpg,dep.geninhozuliani@camara.leg.br,EUGENIO JOSÉ ZULIANI,Superior,SP,Ribeirão Pires,M
178909,Hélio Leite,36769,DEM,PA,https://www.camara.leg.br/internet/deputado/bandep/178909.jpg,dep.helioleite@camara.leg.br,HELIO LEITE DA SILVA,Superior,PA,Castanhal,M
204564,Igor Kannário,36769,DEM,BA,https://www.camara.leg.br/internet/deputado/bandep/204564.jpg,dep.igorkannario@camara.leg.br,ANDERSON MACHADO DE JESUS,Ensino Fundamental,BA,Salvador,M
204386,Jose Mario Schreiner,36769,DEM,GO,https://www.camara.leg.br/internet/deputado/bandep/204386.jpg,dep.josemarioschreiner@camara.leg.br,JOSE MARIO SCHREINER,Ensino Técnico,SC,Porto União,M
204457,Juninho do Pneu,36769,DEM,RJ,https://www.camara.leg.br/internet/deputado/bandep/204457.jpg,dep.juninhodopneu@camara.leg.br,ROGERIO TEIXEIRA JUNIOR,Ensino Médio,RJ,Nova Iguaçu,M
178886,Juscelino Filho,36769,DEM,MA,https://www.camara.leg.br/internet/deputado/bandep/178886.jpg,dep.juscelinofilho@camara.leg.br,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,Superior,MA,São Luís,M
204536,Kim Kataguiri,36769,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/204536.jpg,dep.kimkataguiri@camara.leg.br,KIM PATROCA KATAGUIRI,Superior Incompleto,SP,Salto,M
