36898,AVANTE,Avante
37905,CIDADANIA,Cidadania
37902,DC,Democracia Cristã
36769,DEM,Democratas
36899,MDB,Movimento Democrático Brasileiro
37901,NOVO,Partido Novo
37900,PATRI,Patriota
37907,PATRIOTA,Patriota
36863,PCB,Partido Constitucionalista Brasileiro
36779,PCdoB,Partido Comunista do Brasil
36781,PCO,Partido da Causa Operária
36786,PDT,Partido Democrático Trabalhista
36793,PHS,Partido Humanista da Solidariedade
37906,PL,Partido Liberal
36887,PMB,Partido da Mulher Brasileira
36801,PMN,Partido da Mobilização Nacional
36896,PODE,Podemos
37903,PP,Progressistas
36762,PPL,Partido Pátria Livre
36813,PPS,Partido Popular Socialista
36814,PR,Partido da República
36815,PRB,Partido Republicano Brasileiro
36763,PROS,Partido Republicano da Ordem Social
36824,PRP,Partido Republicano Progressista
36829,PRTB,Partido Renovador Trabalhista Brasileiro
36832,PSB,Partido Socialista Brasileiro
36833,PSC,Partido Social Cristão
36834,PSD,Partido Social Democrático
36835,PSDB,Partido da Social Democracia Brasileira
36837,PSL,Partido Social Liberal
36839,PSOL,Partido Socialismo e Liberdade
36843,PSTU,Partido Socialista dos Trabalhadores Unificado
36844,PT,Partido dos Trabalhadores
36845,PTB,Partido Trabalhista Brasileiro
36846,PTC,Partido Trabalhista Cristão
36851,PV,Partido Verde
36886,REDE,Rede Sustentabilidade
37908,REPUBLICANOS,Republicanos
36852,S.PART.,Sem Partido
37904,SOLIDARIEDADE,Solidariedade
